Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
6,CBSNews,Thu Mar 15 14:37:56 +0000 2018,0.0,0.076,0.924,-0.1027,NEW: The U.S. imposes sanctions on 19 Russians in response to alleged interference in the 2016 election… https://t.co/Jh7ezCsG6q
7,CBSNews,Thu Mar 15 14:35:01 +0000 2018,0.0,0.0,1.0,0.0,A Pennsylvania high school will issue more than 200 detentions to students who walked out of school as part of a na… https://t.co/5JkpVCRQlB
8,CBSNews,Thu Mar 15 14:15:36 +0000 2018,0.0,0.0,1.0,0.0,WATCH: The Northern Lights dance in the sky over the Arctic Circle. According to a local Northern Lights photograph… https://t.co/6rIOLuP6xt
9,CBSNews,Thu Mar 15 14:09:29 +0000 2018,0.141,0.282,0.577,-0.4939,Ex-Marine admits to killing Army reservist in California motel: https://t.co/K9845aLFjM https://t.co/rAGc2DGXYH
10,CBSNews,Thu Mar 15 13:52:02 +0000 2018,0.169,0.117,0.714,0.1027,"NEW: U.S., France and Germany join the U.K. in saying Russia is responsible for attack on Russian former spy in Bri… https://t.co/0wobdbB5IU"
11,CBSNews,Thu Mar 15 13:50:37 +0000 2018,0.112,0.124,0.763,-0.0772,"A dog supposed to be heading to Kansas was put on a United flight going nearly 6,000 miles in the wrong direction,… https://t.co/cQBAy7EpGW"
12,CBSNews,Thu Mar 15 13:30:02 +0000 2018,0.323,0.0,0.677,0.7351,"President Trump tells donors Democrat Conor Lamb won Pennsylvania because he's ""like Trump"" https://t.co/NBbrgngZSB https://t.co/1rrkI5x0wY"
13,CBSNews,Thu Mar 15 13:15:01 +0000 2018,0.0,0.245,0.755,-0.7783,A man who claimed he was an accomplice in the Natalee Holloway case was stabbed to death as he tried to kidnap a wo… https://t.co/g2ktA3R0nr
14,CBSNews,Thu Mar 15 13:00:02 +0000 2018,0.129,0.18,0.691,-0.2732,A Texas district attorney is investigating the death of a puppy on a United Airlines flight as a possible criminal… https://t.co/8SQCuKrbIW
15,CBSNews,Thu Mar 15 12:49:03 +0000 2018,0.11,0.0,0.89,0.2732,"Sneaker startup ""Allbirds"" says it's committed to using sustainable environmental practices to make what it calls ""… https://t.co/101R5bNeDA"
16,CBSNews,Thu Mar 15 12:43:20 +0000 2018,0.0,0.0,1.0,0.0,RT @CBSThisMorning: Could you give up technology for a whole day?  https://t.co/KmanCOqnuf
17,CBSNews,Thu Mar 15 12:40:05 +0000 2018,0.0,0.135,0.865,-0.4215,"Legendary filmmaker George Lucas broke ground with his wife, CBS News contributor Mellody Hobson, on a new museum i… https://t.co/otZoQITP9Q"
18,CBSNews,Thu Mar 15 12:40:01 +0000 2018,0.0,0.106,0.894,-0.2263,Republicans are eying a recount and a lawsuit over perceived irregularities in a closely watched U.S. House race in… https://t.co/dt8V0clyhX
19,CBSNews,Thu Mar 15 12:36:26 +0000 2018,0.208,0.0,0.792,0.6124,There is new evidence that suggests keeping your body physically fit can also keep you mentally fit. A new study in… https://t.co/YKUItQnJsB
20,CBSNews,Thu Mar 15 12:34:34 +0000 2018,0.0,0.0,1.0,0.0,Here is a look at some of this morning’s headlines on @CBSThisMorning: https://t.co/W7HbSpJKgt
21,CBSNews,Thu Mar 15 12:23:49 +0000 2018,0.0,0.0,1.0,0.0,"Catherine Price, author of “How to Break up with Your Phone: The 30 Day Plan to Take Back Your Life” joins… https://t.co/38mEIBwx3l"
22,CBSNews,Thu Mar 15 12:20:01 +0000 2018,0.114,0.123,0.763,-0.0408,Energy Secretary Rick Rick Perry says he's not interested in Veterans Affairs Secretary job: https://t.co/opIZgSVmYs https://t.co/B85OyZQoNB
23,CBSNews,Thu Mar 15 12:18:49 +0000 2018,0.095,0.0,0.905,0.25,"In the new @CBSThisMorning series #PayAttention, we look at the role technology plays in our lives in a different w… https://t.co/b2GXGDaIHz"
24,CBSNews,Thu Mar 15 12:13:42 +0000 2018,0.0,0.0,1.0,0.0,"COMING UP on @CBSThisMorning: “Star Wars” creator George Lucas wants to tell the story of society with 10,000 works… https://t.co/T3WoIBrS1V"
25,CBSNews,Thu Mar 15 12:07:37 +0000 2018,0.16,0.112,0.728,0.25,Republicans are dealing with the potential loss of a house seat in a strong GOP district. @DanSenor joins… https://t.co/1C0ks6ppkz
26,CBSNews,Thu Mar 15 12:06:08 +0000 2018,0.0,0.0,1.0,0.0,President Trump’s personal lawyer Michael Cohen says he made that paid Daniels without the knowledge of Mr. Trump o… https://t.co/uCLOzsITF5
27,CBSNews,Thu Mar 15 12:05:45 +0000 2018,0.0,0.0,1.0,0.0,President Trump tells donors he made up a trade claim in a talk with Canadian Prime Minister Justin Trudeau: https://t.co/60M20WDpNr
28,CBSNews,Thu Mar 15 12:04:52 +0000 2018,0.0,0.0,1.0,0.0,President Trump is expected to continue a shake-up of senior staffers and Cabinet members. Trump’s national securit… https://t.co/utGPLDtlDQ
29,CBSNews,Thu Mar 15 12:00:01 +0000 2018,0.0,0.134,0.866,-0.4767,"The sister of church shooter Dylann Roof has been arrested for bringing drugs, pepper spray and a knife to her Sout… https://t.co/RPmeioKwgm"
30,CBSNews,Thu Mar 15 11:56:38 +0000 2018,0.0,0.0,1.0,0.0,AHEAD: @CBSThisMorning's cameras follow @JDickerson home as he tries to go a day without technology for a new serie… https://t.co/EGtCe3e7YZ
31,CBSNews,Thu Mar 15 11:52:47 +0000 2018,0.0,0.0,1.0,0.0,Here is a look at some of this morning’s headlines on @CBSThisMorning: https://t.co/8fFEOdsGrG
32,CBSNews,Thu Mar 15 11:45:03 +0000 2018,0.0,0.17,0.83,-0.4404,"A new report shows about 57,000 children under the age of six visit the emergency room each year for accidental con… https://t.co/1RlTtRZ7oU"
33,CBSNews,Thu Mar 15 11:40:07 +0000 2018,0.0,0.097,0.903,-0.2584,"New research shows your medicine might not be as secure from your kids as you think. Ahead on @CBSThisMorning,… https://t.co/tPFrDMjEnj"
34,CBSNews,Thu Mar 15 11:40:01 +0000 2018,0.0,0.264,0.736,-0.7269,Saudi Arabia's crown prince says his country will develop a nuclear bomb if Iran builds nuclear weapons. Mohammed B… https://t.co/d5AjZqQ4e4
35,CBSNews,Thu Mar 15 11:38:36 +0000 2018,0.135,0.0,0.865,0.3612,A one-time Silicon Valley star who promised to revolutionize blood testing will settle a civil case involving a mor… https://t.co/FPoDS585hg
36,CBSNews,Thu Mar 15 11:34:30 +0000 2018,0.129,0.18,0.691,-0.2732,A Texas district attorney is investigating the death of a puppy on a United Airlines flight as a possible criminal… https://t.co/GSBqugj3kX
37,CBSNews,Thu Mar 15 11:32:58 +0000 2018,0.0,0.0,1.0,0.0,"Here are three things you should know this morning:
1⃣@POTUS hosts Bill Gates
2⃣Ford recalls 1.4 million cars
3⃣Mar… https://t.co/8LpQGNNH6x"
38,CBSNews,Thu Mar 15 11:30:07 +0000 2018,0.122,0.0,0.878,0.4173,"RT @60Minutes: Saudi crown prince says Iran's Ayatollah Khamenei is ""very much like Hitler."" In his first American television interview, th…"
39,CBSNews,Thu Mar 15 11:23:29 +0000 2018,0.192,0.107,0.701,0.3182,"RT @CBSThisMorning: .@jillonmoney says if you have a @ToysRUs gift card, make sure to use it quickly or it will be worthless. https://t.co/…"
40,CBSNews,Thu Mar 15 11:22:33 +0000 2018,0.139,0.065,0.796,0.3612,United Airlines is apologizing again this morning for another incident involving pets on its planes. Ahead on… https://t.co/eMblVw3rlU
41,CBSNews,Thu Mar 15 11:20:01 +0000 2018,0.112,0.0,0.888,0.34,"A shake-up at the White House could take down a chief of staff, a national security adviser, and up to three Cabine… https://t.co/mIN6mlJ3NQ"
42,CBSNews,Thu Mar 15 11:19:00 +0000 2018,0.091,0.257,0.651,-0.5921,"RT @NorahODonnell: “Saudi Arabia does not want to acquire any nuclear bomb, but without a doubt if Iran developed a nuclear bomb, we will f…"
43,CBSNews,Thu Mar 15 11:18:25 +0000 2018,0.0,0.1,0.9,-0.25,"On Wednesday, survivors of the Florida school massacre raised their voices in protest. The gunman returned to court… https://t.co/MwE59ywMd1"
44,CBSNews,Thu Mar 15 11:16:52 +0000 2018,0.0,0.243,0.757,-0.7269,The Kremlin is rejecting British allegations that Russia is behind the nerve agent attack on a former spy and his d… https://t.co/b0WxdCMYud
45,CBSNews,Thu Mar 15 11:15:39 +0000 2018,0.0,0.264,0.736,-0.7269,Saudi Arabia's crown prince says his country will develop a nuclear bomb if Iran builds nuclear weapons. Mohammed B… https://t.co/OwgH1cMan0
46,CBSNews,Thu Mar 15 11:12:25 +0000 2018,0.0,0.0,1.0,0.0,Toys R Us announced plans to start closing down all of its U.S. stores. The iconic toy store will liquidate overnig… https://t.co/LJjzsR0Ljn
